FIPS,State,County,Health_Outcomes_Z-Score_2010,Health_Outcomes_Rank_2010,Health_Factors_Z-Score_2010,Health_Factors_Rank_2010,Mortality_Z-Score_2010,Mortality_Rank_2010,Morbidity_Z-Score_2010,Morbidity_Rank_2010,Health_Behaviors_Z-Score_2010,Health_Behaviors_Rank_2010,Clinical_Care_Z-Score_2010,Clinical_Care_Rank_2010,Social_and_Economic Factors_Z-Score_2010,Social_and_Economic Factors_Rank_2010,Physical_Environment_Z-Score_2010,Physical_Environment_Rank_2010,Smoking_Z-Score_2010,Smoking_Rank_2010,Diet_and_Exercise_Z-Score_2010,Diet_and_Exercise_Rank_2010,Alcohol_Use_Z-Score_2010,Alcohol_Use_Rank_2010,Unsafe_Sex_Z-Score_2010,Unsafe_Sex_Rank_2010,Access_to_Care_Z-Score_2010,Access_to_Care_Rank_2010,Quality_of_Care_Z-Score_2010,Quality_of_Care_Rank_2010,Education_Z-Score_2010,Education_Rank_2010,Employment_Z-Score_2010,Employment_Rank_2010,Income_Z-Score_2010,Income_Rank_2010,Family_and_Social_Support_Z-Score_2010,Family_and_Social_Support_Rank_2010,Community_Safety_Z-Score_2010,Community_Safety_Rank_2010,Air_Quality_Z-Score_2010,Air_Quality_Rank_2010,Built_Environment_Z-Score_2010,Built_Environment_Rank_2010
36019,New York,Clinton,0.13,36,0.13,37,-0.03,28,0.17,45,0.01,29,0.05,41,0.07,37,0.00,38,-0.02,25,-0.01,27,0.06,61,-0.03,12,0.01,32,0.04,45,0.03,39,0.11,50,-0.02,30,-0.03,11,-0.02,26,-0.01,36,0.01,41
36021,New York,Columbia,0.45,45,-0.08,23,0.63,58,-0.17,16,0.00,27,0.01,31,-0.11,17,0.03,48,-0.10,10,0.06,46,0.04,55,-0.01,33,0.08,55,-0.07,12,0.07,53,-0.12,7,-0.02,27,-0.01,25,-0.03,13,-0.01,35,0.04,50
36023,New York,Cortland,0.62,53,0.16,41,0.42,53,0.20,48,0.03,32,0.05,42,0.11,45,-0.03,19,0.12,56,-0.05,17,-0.04,9,-0.01,29,0.00,26,0.06,50,0.03,41,0.08,46,0.00,37,0.00,36,-0.01,33,-0.04,2,0.02,45
36025,New York,Delaware,0.22,39,0.24,48,0.33,45,-0.12,19,0.02,31,0.13,58,0.07,36,0.02,42,0.01,39,-0.01,25,0.05,57,-0.03,17,0.08,57,0.05,48,0.00,31,0.03,40,0.05,51,0.01,45,-0.03,19,-0.04,2,0.06,59
36027,New York,Dutchess,-0.78,11,-0.46,10,-0.38,15,-0.40,11,-0.18,10,-0.03,22,-0.23,9,-0.01,24,-0.07,14,-0.05,14,-0.03,15,-0.03,9,0.00,29,-0.03,20,-0.05,11,-0.08,14,-0.09,6,-0.01,24,0.01,46,0.00,38,-0.02,23
36029,New York,Erie,0.83,55,0.00,28,0.49,56,0.34,54,-0.01,26,-0.16,5,0.10,44,0.07,56,-0.08,13,0.06,45,-0.03,17,0.04,54,-0.10,6,-0.05,15,-0.01,29,-0.01,32,0.04,48,-0.01,23,0.08,56,0.09,58,-0.02,19
36031,New York,Essex,-0.71,13,0.03,31,-0.16,22,-0.55,4,-0.19,8,0.10,52,0.04,32,0.08,62,-0.08,12,-0.13,4,0.04,54,-0.02,21,0.09,58,0.01,36,-0.02,24,0.12,51,-0.01,31,-0.05,4,0.00,37,0.00,37,0.08,61
36033,New York,Franklin,0.59,50,0.32,50,0.17,40,0.42,55,-0.02,24,0.04,39,0.27,58,0.04,50,-0.06,15,0.03,37,0.01,37,0.00,38,0.01,31,0.03,43,0.06,49,0.16,58,0.03,45,0.01,44,0.01,47,0.02,46,0.02,47
36035,New York,Fulton,0.53,47,0.48,55,0.35,48,0.18,46,0.19,54,0.04,36,0.27,57,-0.01,28,0.15,59,0.00,34,0.01,34,0.03,50,0.01,30,0.03,42,0.08,56,0.13,53,0.05,52,0.02,53,-0.02,25,-0.02,26,0.01,44
36037,New York,Genesee,-0.20,25,0.09,35,-0.11,25,-0.09,22,0.11,43,0.10,54,-0.09,20,-0.03,17,0.03,41,0.07,49,0.02,42,-0.02,23,0.03,40,0.08,56,0.01,33,-0.02,27,-0.06,9,0.01,47,-0.03,15,-0.02,26,-0.01,25
36039,New York,Greene,1.09,59,0.15,39,1.14,60,-0.05,29,0.00,28,-0.04,20,0.18,51,0.01,39,0.07,46,-0.05,17,0.00,28,-0.02,22,0.06,54,-0.10,4,0.12,62,0.02,38,0.02,41,0.01,42,0.02,49,-0.04,12,0.04,53
36041,New York,Hamilton,-0.62,16,-0.17,18,-0.57,10,-0.05,30,-0.07,19,0.06,45,-0.19,10,0.03,44,0.00,30,-0.06,10,0.02,41,-0.03,13,0.18,62,-0.12,2,-0.13,6,0.07,45,-0.03,20,-0.04,8,-0.06,2,-0.04,12,0.06,58
36043,New York,Herkimer,0.29,41,0.17,43,0.35,49,-0.06,27,-0.02,25,0.17,62,0.09,40,-0.07,3,0.00,28,-0.05,17,0.03,53,0.00,36,0.08,56,0.09,57,0.05,44,0.04,41,-0.02,28,0.00,28,0.02,48,-0.03,18,-0.04,7
36045,New York,Jefferson,-0.03,29,0.75,61,0.05,33,-0.07,26,0.44,62,0.04,37,0.24,55,0.03,47,0.22,62,0.10,56,0.05,59,0.07,60,0.05,49,-0.01,28,0.06,50,0.13,53,0.03,43,0.02,50,0.00,37,0.02,44,0.01,42
36047,New York,Kings,0.98,58,0.35,51,0.39,52,0.59,60,-0.16,12,0.08,49,0.43,61,0.00,35,-0.12,7,-0.04,22,-0.08,1,0.08,61,-0.03,16,0.11,58,-0.02,20,0.01,35,0.24,60,0.09,61,0.11,58,0.05,54,-0.06,4
36049,New York,Lewis,-0.40,19,0.22,47,0.11,38,-0.50,8,0.12,49,0.01,32,0.12,47,-0.04,12,0.01,35,0.08,51,0.06,60,-0.02,24,0.04,46,-0.03,23,0.01,32,0.12,51,0.06,53,-0.03,15,-0.04,12,-0.02,26,-0.02,21
36051,New York,Livingston,-1.14,4,-0.14,20,-0.49,12,-0.64,2,0.04,34,-0.03,23,-0.14,12,-0.01,27,-0.04,21,0.08,53,0.05,58,-0.05,4,0.00,28,-0.03,22,-0.02,22,0.02,38,-0.08,7,-0.02,17,-0.05,9,-0.03,18,0.02,49
36053,New York,Madison,-0.24,23,-0.08,25,-0.27,19,0.03,34,0.12,47,-0.03,21,-0.13,14,-0.04,11,0.09,49,0.04,40,0.03,45,-0.03,11,-0.03,19,-0.01,31,-0.02,16,-0.01,32,-0.05,14,0.00,37,-0.05,5,-0.04,12,0.00,31
36055,New York,Monroe,0.04,31,-0.19,17,-0.08,26,0.12,42,0.04,36,-0.26,1,0.00,29,0.03,49,-0.02,23,0.03,39,-0.03,16,0.06,58,-0.14,2,-0.11,3,-0.04,13,-0.04,20,0.03,42,0.01,46,0.04,52,0.06,55,-0.03,17
36057,New York,Montgomery,0.04,32,0.55,57,0.38,51,-0.35,12,0.32,59,-0.04,18,0.29,60,-0.01,26,0.14,58,0.15,59,-0.02,21,0.04,55,-0.02,21,-0.02,24,0.12,60,0.17,60,-0.02,29,0.02,52,0.00,37,-0.02,26,0.01,39
36059,New York,Nassau,-1.05,6,-1.13,1,-0.88,1,-0.17,17,-0.46,3,-0.14,7,-0.53,2,0.00,32,-0.16,5,-0.20,3,-0.05,7,-0.05,5,-0.13,4,-0.01,29,-0.19,1,-0.14,4,-0.14,4,-0.03,10,-0.02,21,0.01,42,-0.01,26
36061,New York,New York,0.01,30,-0.48,9,-0.46,13,0.46,57,-0.51,2,-0.13,9,0.08,39,0.08,59,-0.12,8,-0.43,1,-0.02,18,0.07,59,-0.17,1,0.04,44,-0.18,2,-0.12,7,0.25,61,0.00,38,0.11,62,0.04,50,0.04,55
36063,New York,Niagara,0.96,57,0.40,54,0.46,55,0.50,59,0.14,52,0.02,34,0.16,49,0.08,61,0.07,47,0.04,40,0.00,30,0.02,47,-0.03,17,0.05,46,0.02,34,0.13,53,-0.01,32,-0.02,20,0.04,53,0.12,62,-0.03,11
36065,New York,Oneida,0.81,54,0.02,29,0.34,47,0.47,58,-0.06,20,-0.01,29,0.10,43,-0.01,25,0.01,36,-0.05,14,-0.04,10,0.03,48,-0.06,13,0.05,47,0.02,38,-0.04,20,0.10,57,0.02,51,0.00,36,-0.02,32,0.00,36
36067,New York,Onondaga,0.21,38,-0.14,21,0.02,30,0.19,47,0.03,33,-0.19,2,0.04,33,-0.03,18,-0.06,15,0.07,49,-0.03,14,0.05,57,-0.12,5,-0.07,10,0.02,36,-0.07,17,0.03,44,0.02,49,0.05,54,0.01,40,-0.03,13
36069,New York,Ontario,-1.13,5,-0.57,7,-0.43,14,-0.70,1,-0.17,11,-0.06,14,-0.28,8,-0.05,7,-0.16,6,0.00,30,0.02,40,-0.03,16,0.01,33,-0.07,9,-0.07,10,-0.08,14,-0.06,10,-0.02,19,-0.05,6,-0.04,15,-0.02,20
